,city,city_id,cloudiness,cod,country,date,humidity,lat,lon,main_pressure,main_temp,sys_country,sys_id,sys_sunrise,sys_sunset,sys_type,temp_max,temp_min,timezone,visibility,weather_description,weather_icon,weather_id,weather_main,wind_deg,wind_speed
0,Bluff,NaN,0.0,NaN,AU,1573177874.0,11.0,-23.58,149.07,NaN,NaN,AU,NaN,NaN,NaN,NaN,96.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.68
1,Castro,NaN,97.0,NaN,CL,1573177888.0,94.0,-42.48,-73.76,NaN,NaN,CL,NaN,NaN,NaN,NaN,35.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.89
2,Busselton,NaN,0.0,NaN,AU,1573177872.0,52.0,-33.64,115.35,NaN,NaN,AU,NaN,NaN,NaN,NaN,70.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.95
3,Kodiak,4407665,1.0,200,US,1573177842.0,42.0,39.95,-94.76,1034,27.39,US,4042,1573131280,1573168246,1,28.4,26.6,-21600,16093,clear sky,01n,800,Clear,30,1.99
4,Irbeyskoye,NaN,76.0,NaN,RU,1573178002.0,67.0,55.64,95.45,NaN,NaN,RU,NaN,NaN,NaN,NaN,34.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.35
5,Barrow,NaN,2.0,NaN,AR,1573177844.0,91.0,-38.31,-60.23,NaN,NaN,AR,NaN,NaN,NaN,NaN,43.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.91
6,Hamilton,5969785,75.0,200,CA,1573177943.0,92.0,43.26,-79.87,1022,29.79,CA,818,1573128116,1573164263,1,32.0,28.4,-18000,4828,light snow,13n,600,Snow,320,4.7
7,Jamestown,NaN,57.0,NaN,AU,1573177832.0,36.0,-33.21,138.6,NaN,NaN,AU,NaN,NaN,NaN,NaN,58.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.77
8,Tiznit,NaN,3.0,NaN,MA,1573177929.0,45.0,29.7,-9.73,NaN,NaN,MA,NaN,NaN,NaN,NaN,56.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.43
9,Pochutla,3517970,40.0,200,MX,1573178007.0,74.0,15.74,-96.47,1011,82.74,MX,7096,1573129490,1573170858,1,84.2,80.6,-21600,12874,scattered clouds,03n,802,Clouds,302,7.7
10,Kudahuvadhoo,NaN,89.0,NaN,MV,1573178009.0,76.0,2.67,72.89,NaN,NaN,MV,NaN,NaN,NaN,NaN,82.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.17
11,Rikitea,NaN,93.0,NaN,PF,1573177873.0,85.0,-23.12,-134.97,NaN,NaN,PF,NaN,NaN,NaN,NaN,74.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.06
12,Cherskiy,NaN,100.0,NaN,RU,1573177862.0,75.0,68.75,161.3,NaN,NaN,RU,NaN,NaN,NaN,NaN,20.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1
13,Qaanaaq,NaN,0.0,NaN,GL,1573177884.0,67.0,77.48,-69.36,NaN,NaN,GL,NaN,NaN,NaN,NaN,-2.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.27
14,Kaitangata,NaN,62.0,NaN,NZ,1573177842.0,73.0,-46.28,169.85,NaN,NaN,NZ,NaN,NaN,NaN,NaN,56.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.48
15,Punta Arenas,NaN,98.0,NaN,CL,1573177879.0,81.0,-53.16,-70.91,NaN,NaN,CL,NaN,NaN,NaN,NaN,36.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.31
16,Diamantino,NaN,99.0,NaN,BR,1573178017.0,95.0,-14.4,-56.44,NaN,NaN,BR,NaN,NaN,NaN,NaN,72.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.77
17,Hermanus,NaN,5.0,NaN,ZA,1573177585.0,81.0,-34.42,19.24,NaN,NaN,ZA,NaN,NaN,NaN,NaN,59.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.3
18,Bambous Virieux,1106677,40.0,200,MU,1573177887.0,78.0,-20.34,57.76,1020,75.2,MU,2061,1573176231,1573222891,1,75.2,75.2,14400,10000,shower rain,09d,521,Rain,100,12.75
19,Margate,2158744,40.0,200,AU,1573177842.0,70.0,-43.03,147.26,998,48.2,AU,9545,1573152365,1573203795,1,48.2,48.2,39600,10000,shower rain,09d,521,Rain,200,8.05
20,Independenta,NaN,100.0,NaN,RO,1573178022.0,73.0,45.48,27.75,NaN,NaN,RO,NaN,NaN,NaN,NaN,56.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.15
21,San Juan,NaN,0.0,NaN,AR,1573178023.0,25.0,-31.54,-68.53,NaN,NaN,AR,NaN,NaN,NaN,NaN,72.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.44
22,Hovd,7626384,0.0,200,NO,1573177576.0,85.0,63.83,10.7,1013,18.97,NO,1676,1573197556,1573224157,1,21.2,15.8,3600,10000,clear sky,01n,800,Clear,140,3.36
23,Lebu,344979,40.0,200,ET,1573177866.0,62.0,8.96,38.73,1026,55.4,ET,2453,1573182959,1573225299,1,55.4,55.4,10800,10000,scattered clouds,03n,802,Clouds,120,3.36
24,Floriano,NaN,72.0,NaN,BR,1573178027.0,41.0,-6.77,-43.02,NaN,NaN,BR,NaN,NaN,NaN,NaN,83.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.45
25,Tuktoyaktuk,6170031,90.0,200,CA,1573177843.0,72.0,69.44,-133.03,1027,14,CA,942,1573148735,1573169162,1,14.0,14,-25200,9656,light snow,13n,600,Snow,330,19.46
26,Sertania,NaN,100.0,NaN,BR,1573178029.0,86.0,-8.07,-37.26,NaN,NaN,BR,NaN,NaN,NaN,NaN,67.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.52
27,Saint-Philippe,6138908,90.0,200,CA,1573177894.0,62.0,45.36,-73.48,1019,29.19,CA,4146,1573126868,1573162444,1,32.0,24.8,-18000,16093,overcast clouds,04n,804,Clouds,346,6.33
28,Caravelas,NaN,0.0,NaN,BR,1573177916.0,94.0,-17.73,-39.27,NaN,NaN,BR,NaN,NaN,NaN,NaN,70.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.7
29,Beni Suef,NaN,0.0,NaN,EG,1573178034.0,79.0,29.07,31.1,NaN,NaN,EG,NaN,NaN,NaN,NaN,62.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.56
30,San Patricio,NaN,0.0,NaN,PY,1573177905.0,96.0,-26.98,-56.83,NaN,NaN,PY,NaN,NaN,NaN,NaN,70.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.03
31,Bethel,5880568,90.0,200,US,1573177881.0,92.0,60.79,-161.76,1001,30.2,US,7640,1573151331,1573180358,1,30.2,30.2,-32400,4023,overcast clouds,04n,804,Clouds,20,14.99
32,Saint George,262462,75.0,200,GR,1573177876.0,72.0,39.45,22.34,1011,62.6,GR,6607,1573189564,1573226561,1,62.6,62.6,7200,10000,light rain,10n,500,Rain,280,6.93
33,Alice Springs,2077895,0.0,200,AU,1573177910.0,12.0,-23.7,133.88,1019,86,AU,9483,1573157684,1573204899,1,86.0,86,34200,10000,clear sky,01d,800,Clear,140,11.41
